receive_task_id,complete_time,status,sender_id,tracking_count,total_task_quantity,sender_count,processed_at
DRT2025080501SEA,2025-08-05 18:55:03,Done,NO_DATA,0,0,1,2025-08-05T18:56:28.353146
DRT2025080501OLM,2025-08-05 18:54:24,Done,NO_DATA,0,0,1,2025-08-05T18:56:37.169723
DRT2025080501W8O,2025-08-05 18:53:56,Done,311312007,6,6,1,2025-08-05T18:56:48.345465
DRT2025080501KQ4,2025-08-05 18:48:33,Done,49903867,4,4,1,2025-08-05T18:56:57.666000
DRT2025080501OK4,2025-08-05 18:48:15,Done,NO_DATA,0,0,1,2025-08-05T18:57:05.753793
DRT2025080501W66,2025-08-05 18:38:50,Done,56575108,1,1,1,2025-08-05T18:57:14.276345
DRT2025080501KNR,2025-08-05 18:34:30,Done,1155288526,4,4,1,2025-08-05T18:57:23.026922
DRT2025080501W47,2025-08-05 18:28:54,Done,135339956,41,57,4,2025-08-05T18:57:52.751476
DRT2025080501W47,2025-08-05 18:28:54,Done,629866151,1,57,4,2025-08-05T18:57:52.751476
DRT2025080501W47,2025-08-05 18:28:54,Done,626605510,4,57,4,2025-08-05T18:57:52.751476
DRT2025080501W47,2025-08-05 18:28:54,Done,587203438,11,57,4,2025-08-05T18:57:52.751476
DRT2025080501OG2,2025-08-05 18:20:49,Done,1401599312,1,4,3,2025-08-05T18:58:01.893272
DRT2025080501OG2,2025-08-05 18:20:49,Done,1297127243,2,4,3,2025-08-05T18:58:01.893272
DRT2025080501OG2,2025-08-05 18:20:49,Done,1354738987,1,4,3,2025-08-05T18:58:01.893272
DRT2025080501W14,2025-08-05 18:20:30,Done,910930938,32,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,965886198,2,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,910936895,29,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,910941135,2,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,1350463971,1,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,1401599312,9,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,1297127243,65,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,910946898,8,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,1354738987,12,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,414866255,3,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,923680266,3,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,801392982,2,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,1224107098,4,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,436557953,2,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,601750765,1,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,923826025,1,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,1354738984,1,178,18,2025-08-05T18:59:21.655609
DRT2025080501W14,2025-08-05 18:20:30,Done,1219087799,1,178,18,2025-08-05T18:59:21.655609
DRT2025080501ODY,2025-08-05 18:09:27,Done,NO_DATA,0,0,1,2025-08-05T18:59:29.446815
DRT2025080501S5J,2025-08-05 18:09:07,Done,1297127243,47,103,11,2025-08-05T19:00:18.171354
DRT2025080501S5J,2025-08-05 18:09:07,Done,910936895,8,103,11,2025-08-05T19:00:18.171354
DRT2025080501S5J,2025-08-05 18:09:07,Done,1354738987,31,103,11,2025-08-05T19:00:18.171354
