receive_task_id,complete_time,status,sender_id,tracking_count,total_task_quantity,sender_count,processed_at
DRT2025080501SM4,2025-08-05 20:06:42,Done,311312007,1,1,1,2025-08-05T21:32:53.368614
DRT2025080501WG7,2025-08-05 20:02:20,Done,109869171,1,5,2,2025-08-05T21:33:02.488858
DRT2025080501WG7,2025-08-05 20:02:20,Done,288712887,4,5,2,2025-08-05T21:33:02.488858
DRT2025080501OT0,2025-08-05 20:01:45,Done,587203438,14,21,3,2025-08-05T21:33:14.691342
DRT2025080501OT0,2025-08-05 20:01:45,Done,626605510,6,21,3,2025-08-05T21:33:14.691342
DRT2025080501OT0,2025-08-05 20:01:45,Done,1085337399,1,21,3,2025-08-05T21:33:14.691342
DRT2025080501WEM,2025-08-05 19:51:40,Done,311312007,1,1,1,2025-08-05T21:33:22.882618
DRT2025080501WEE,2025-08-05 19:46:59,Done,311312007,2,2,1,2025-08-05T21:33:31.208013
DRT2025080501KWB,2025-08-05 19:44:20,Done,109869171,9,19,4,2025-08-05T21:33:43.145265
DRT2025080501KWB,2025-08-05 19:44:20,Done,346208661,1,19,4,2025-08-05T21:33:43.145265
DRT2025080501KWB,2025-08-05 19:44:20,Done,337487768,5,19,4,2025-08-05T21:33:43.145265
DRT2025080501KWB,2025-08-05 19:44:20,Done,224146289,4,19,4,2025-08-05T21:33:43.145265
DRT2025080501KW4,2025-08-05 19:40:34,Done,1425583186,6,6,1,2025-08-05T21:33:52.618199
DRT2025080501SJD,2025-08-05 19:39:24,Done,311312007,1,1,1,2025-08-05T21:34:00.956674
DRT2025080501KW0,2025-08-05 19:38:17,Done,56575108,7,7,1,2025-08-05T21:34:10.648414
DRT2025080501OQH,2025-08-05 19:38:00,Done,NO_DATA,0,0,1,2025-08-05T21:34:18.703235
DRT2025080501SJ2,2025-08-05 19:35:37,Done,NO_DATA,0,0,1,2025-08-05T21:34:26.886011
DRT2025080501SI3,2025-08-05 19:33:31,Done,1277383464,21,142,7,2025-08-05T21:35:32.827040
DRT2025080501SI3,2025-08-05 19:33:31,Done,391688542,84,142,7,2025-08-05T21:35:32.827040
DRT2025080501SI3,2025-08-05 19:33:31,Done,894746906,13,142,7,2025-08-05T21:35:32.827040
DRT2025080501SI3,2025-08-05 19:33:31,Done,127458335,16,142,7,2025-08-05T21:35:32.827040
DRT2025080501SI3,2025-08-05 19:33:31,Done,683730549,2,142,7,2025-08-05T21:35:32.827040
DRT2025080501SI3,2025-08-05 19:33:31,Done,1189003402,5,142,7,2025-08-05T21:35:32.827040
DRT2025080501SI3,2025-08-05 19:33:31,Done,1164492637,1,142,7,2025-08-05T21:35:32.827040
DRT2025080501KUQ,2025-08-05 19:25:52,Done,NO_DATA,0,0,1,2025-08-05T21:35:40.845855
DRT2025080501SHX,2025-08-05 19:24:31,Done,1089240201,1,17,5,2025-08-05T21:35:53.073151
DRT2025080501SHX,2025-08-05 19:24:31,Done,1043724282,5,17,5,2025-08-05T21:35:53.073151
DRT2025080501SHX,2025-08-05 19:24:31,Done,1129462789,6,17,5,2025-08-05T21:35:53.073151
DRT2025080501SHX,2025-08-05 19:24:31,Done,1111975068,3,17,5,2025-08-05T21:35:53.073151
DRT2025080501SHX,2025-08-05 19:24:31,Done,1043757502,2,17,5,2025-08-05T21:35:53.073151
DRT2025080501WCB,2025-08-05 19:23:56,Done,1164492637,25,31,2,2025-08-05T21:36:12.939920
DRT2025080501WCB,2025-08-05 19:23:56,Done,894746906,6,31,2,2025-08-05T21:36:12.939920
DRT2025080501SHS,2025-08-05 19:22:56,Done,NO_DATA,0,0,1,2025-08-05T21:36:21.456358
DRT2025080501WC6,2025-08-05 19:22:48,Done,1164492637,2,10,4,2025-08-05T21:36:31.579583
DRT2025080501WC6,2025-08-05 19:22:48,Done,894746906,2,10,4,2025-08-05T21:36:31.579583
DRT2025080501WC6,2025-08-05 19:22:48,Done,1571340600,3,10,4,2025-08-05T21:36:31.579583
DRT2025080501WC6,2025-08-05 19:22:48,Done,1216771632,3,10,4,2025-08-05T21:36:31.579583
DRT2025080501WC5,2025-08-05 19:21:59,Done,102306521,1,1,1,2025-08-05T21:36:39.448923
DRT2025080501WB5,2025-08-05 19:15:55,Done,1043757502,10,88,7,2025-08-05T21:37:19.333243
DRT2025080501WB5,2025-08-05 19:15:55,Done,1043748771,5,88,7,2025-08-05T21:37:19.333243
DRT2025080501WB5,2025-08-05 19:15:55,Done,1111975068,11,88,7,2025-08-05T21:37:19.333243
DRT2025080501WB5,2025-08-05 19:15:55,Done,1043724282,28,88,7,2025-08-05T21:37:19.333243
DRT2025080501WB5,2025-08-05 19:15:55,Done,1129462789,27,88,7,2025-08-05T21:37:19.333243
DRT2025080501WB5,2025-08-05 19:15:55,Done,1165931454,5,88,7,2025-08-05T21:37:19.333243
DRT2025080501WB5,2025-08-05 19:15:55,Done,1089240201,2,88,7,2025-08-05T21:37:19.333243
DRT2025080501OO1,2025-08-05 19:12:18,Done,NO_DATA,0,0,1,2025-08-05T21:37:27.317602
DRT2025080501OLQ,2025-08-05 19:11:53,Done,311312007,163,170,2,2025-08-05T21:38:50.513085
DRT2025080501OLQ,2025-08-05 19:11:53,Done,102306521,7,170,2,2025-08-05T21:38:50.513085
DRT2025080501SEA,2025-08-05 18:55:03,Done,NO_DATA,0,0,1,2025-08-05T21:38:58.735954
DRT2025080501OLM,2025-08-05 18:54:24,Done,1309739046,5,5,1,2025-08-05T21:39:07.563548
DRT2025080501W8O,2025-08-05 18:53:56,Done,311312007,6,6,1,2025-08-05T21:39:16.744445
DRT2025080501KQ4,2025-08-05 18:48:33,Done,49903867,4,4,1,2025-08-05T21:39:25.797992
DRT2025080501OK4,2025-08-05 18:48:15,Done,NO_DATA,0,0,1,2025-08-05T21:39:33.644937
DRT2025080501W66,2025-08-05 18:38:50,Done,56575108,1,1,1,2025-08-05T21:39:41.642568
DRT2025080501KNR,2025-08-05 18:34:30,Done,1155288526,4,4,1,2025-08-05T21:39:50.406101
DRT2025080501W47,2025-08-05 18:28:54,Done,135339956,41,57,4,2025-08-05T21:40:22.672505
DRT2025080501W47,2025-08-05 18:28:54,Done,629866151,1,57,4,2025-08-05T21:40:22.672505
DRT2025080501W47,2025-08-05 18:28:54,Done,626605510,4,57,4,2025-08-05T21:40:22.672505
DRT2025080501W47,2025-08-05 18:28:54,Done,587203438,11,57,4,2025-08-05T21:40:22.672505
DRT2025080501OG2,2025-08-05 18:20:49,Done,1401599312,1,4,3,2025-08-05T21:40:31.861603
DRT2025080501OG2,2025-08-05 18:20:49,Done,1297127243,2,4,3,2025-08-05T21:40:31.861603
DRT2025080501OG2,2025-08-05 18:20:49,Done,1354738987,1,4,3,2025-08-05T21:40:31.861603
DRT2025080501W14,2025-08-05 18:20:30,Done,910930938,32,178,18,2025-08-05T21:41:49.153560
DRT2025080501W14,2025-08-05 18:20:30,Done,965886198,2,178,18,2025-08-05T21:41:49.153560
DRT2025080501W14,2025-08-05 18:20:30,Done,910936895,29,178,18,2025-08-05T21:41:49.153560
DRT2025080501W14,2025-08-05 18:20:30,Done,910941135,2,178,18,2025-08-05T21:41:49.153560
DRT2025080501W14,2025-08-05 18:20:30,Done,1350463971,1,178,18,2025-08-05T21:41:49.153560
DRT2025080501W14,2025-08-05 18:20:30,Done,1401599312,9,178,18,2025-08-05T21:41:49.153560
DRT2025080501W14,2025-08-05 18:20:30,Done,1297127243,65,178,18,2025-08-05T21:41:49.153560
DRT2025080501W14,2025-08-05 18:20:30,Done,910946898,8,178,18,2025-08-05T21:41:49.153560
DRT2025080501W14,2025-08-05 18:20:30,Done,1354738987,12,178,18,2025-08-05T21:41:49.153560
DRT2025080501W14,2025-08-05 18:20:30,Done,414866255,3,178,18,2025-08-05T21:41:49.153560
DRT2025080501W14,2025-08-05 18:20:30,Done,923680266,3,178,18,2025-08-05T21:41:49.153560
DRT2025080501W14,2025-08-05 18:20:30,Done,801392982,2,178,18,2025-08-05T21:41:49.153560
DRT2025080501W14,2025-08-05 18:20:30,Done,1224107098,4,178,18,2025-08-05T21:41:49.153560
DRT2025080501W14,2025-08-05 18:20:30,Done,436557953,2,178,18,2025-08-05T21:41:49.153560
